"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"131",1414759343612,"old",FALSE,"A",NA,1415,FALSE,1,0,1,1,3,"1011",9,"opt-total","05"
"132",1414759345785,"old",TRUE,"B",TRUE,1290,TRUE,1,0,1,0,4,"1010",9,"opt-total","05"
"133",1414759347830,"old",TRUE,"B",TRUE,1260,TRUE,1,0,0,0,5,"1000",9,"opt-total","05"
"134",1414759349843,"old",FALSE,"A",NA,1625,FALSE,0,0,1,0,6,"0010",9,"opt-total","05"
"135",1414759352225,"old",TRUE,"A",TRUE,1194,TRUE,1,1,1,1,7,"1111",9,"opt-total","05"
"136",1414759354173,"old",TRUE,"A",TRUE,1542,TRUE,1,1,1,0,8,"1110",9,"opt-total","05"
"137",1414759356469,"old",TRUE,"A",TRUE,1917,TRUE,0,0,0,1,9,"0001",9,"opt-total","05"
"138",1414759359141,"old",FALSE,"B",NA,1120,FALSE,0,1,1,1,10,"0111",9,"opt-total","05"
"139",1414759361014,"old",FALSE,"A",NA,1804,FALSE,1,1,0,1,11,"1101",9,"opt-total","05"
"140",1414759363571,"old",FALSE,"B",NA,1697,FALSE,0,1,0,1,12,"0101",9,"opt-total","05"
"141",1414759366026,"old",TRUE,"A",TRUE,1416,TRUE,0,0,1,1,13,"0011",9,"opt-total","05"
"142",1414759368195,"old",FALSE,"A",NA,1231,FALSE,0,0,0,0,14,"0000",9,"opt-total","05"
"143",1414759370198,"old",TRUE,"B",FALSE,1366,TRUE,1,1,0,0,15,"1100",9,"opt-total","05"
"144",1414759372318,"old",TRUE,"B",TRUE,1572,TRUE,0,1,1,0,16,"0110",9,"opt-total","05"
"145",1414759382036,"old",TRUE,"B",FALSE,5688,TRUE,1,1,1,1,1,"1111",10,"opt-total","05"
"146",1414759388475,"old",FALSE,"A",NA,2633,FALSE,0,0,1,0,2,"0010",10,"opt-total","05"
"147",1414759391859,"old",TRUE,"A",TRUE,2226,TRUE,0,0,0,1,3,"0001",10,"opt-total","05"
"148",1414759394836,"old",TRUE,"B",TRUE,1935,TRUE,0,1,0,0,4,"0100",10,"opt-total","05"
"149",1414759397521,"old",TRUE,"A",TRUE,1922,TRUE,0,0,1,1,5,"0011",10,"opt-total","05"
"150",1414759400194,"old",FALSE,"A",NA,2592,FALSE,1,1,0,1,6,"1101",10,"opt-total","05"
"151",1414759403538,"new",TRUE,"B",NA,1792,FALSE,0,0,0,0,7,"0000",10,"opt-total","05"
"152",1414759406081,"new",TRUE,"A",NA,2466,FALSE,1,0,0,1,8,"1001",10,"opt-total","05"
"153",1414759409298,"old",TRUE,"A",FALSE,2185,TRUE,0,1,1,0,9,"0110",10,"opt-total","05"
"154",1414759412234,"old",FALSE,"B",NA,2249,FALSE,1,0,1,1,10,"1011",10,"opt-total","05"
"155",1414759415234,"old",TRUE,"A",FALSE,1817,TRUE,1,0,1,0,11,"1010",10,"opt-total","05"
"156",1414759417801,"old",TRUE,"A",FALSE,1561,TRUE,1,0,0,0,12,"1000",10,"opt-total","05"
"157",1414759420114,"old",TRUE,"A",TRUE,1888,TRUE,1,1,1,0,13,"1110",10,"opt-total","05"
"158",1414759422754,"old",FALSE,"B",NA,1712,FALSE,0,1,1,1,14,"0111",10,"opt-total","05"
"159",1414759425217,"old",TRUE,"A",TRUE,1450,TRUE,1,1,0,0,15,"1100",10,"opt-total","05"
"160",1414759427418,"old",FALSE,"B",NA,1721,FALSE,0,1,0,1,16,"0101",10,"opt-total","05"
"161",1414759686689,"old",TRUE,"B",FALSE,10017,TRUE,0,0,1,1,1,"0011",11,"opt-total","05"
"162",1414759697447,"old",FALSE,"A",NA,13972,FALSE,1,0,1,1,2,"1011",11,"opt-total","05"
"163",1414759712171,"old",TRUE,"B",TRUE,3655,TRUE,1,0,1,0,3,"1010",11,"opt-total","05"
"164",1414759716579,"old",FALSE,"B",NA,5110,FALSE,1,0,0,1,4,"1001",11,"opt-total","05"
"165",1414759722449,"old",TRUE,"B",FALSE,7384,TRUE,1,1,1,1,5,"1111",11,"opt-total","05"
"166",1414759730579,"old",TRUE,"B",FALSE,3877,TRUE,0,0,0,1,6,"0001",11,"opt-total","05"
"167",1414759735203,"new",FALSE,"A",TRUE,8296,TRUE,1,1,0,0,7,"1100",11,"opt-total","05"
"168",1414759744238,"old",FALSE,"B",NA,3104,FALSE,1,1,0,1,8,"1101",11,"opt-total","05"
"169",1414759748083,"old",TRUE,"A",FALSE,4886,TRUE,0,1,1,0,9,"0110",11,"opt-total","05"
"170",1414759753711,"old",FALSE,"B",NA,36458,FALSE,0,1,0,1,10,"0101",11,"opt-total","05"
"171",1414759790907,"old",FALSE,"B",NA,4670,FALSE,0,0,0,0,11,"0000",11,"opt-total","05"
"172",1414759796319,"old",FALSE,"B",NA,18625,FALSE,0,0,1,0,12,"0010",11,"opt-total","05"
"173",1414759815702,"old",TRUE,"A",FALSE,5720,TRUE,1,0,0,0,13,"1000",11,"opt-total","05"
"174",1414759822160,"old",TRUE,"B",TRUE,4621,TRUE,0,1,0,0,14,"0100",11,"opt-total","05"
"175",1414759827531,"old",FALSE,"B",NA,20572,FALSE,0,1,1,1,15,"0111",11,"opt-total","05"
"176",1414759848867,"old",TRUE,"B",FALSE,4427,TRUE,1,1,1,0,16,"1110",11,"opt-total","05"
"177",1414760263065,"old",TRUE,"A",TRUE,4366,TRUE,1,1,0,0,1,"1100",12,"opt-total","05"
"178",1414760268203,"old",TRUE,"A",FALSE,3036,TRUE,1,0,0,0,2,"1000",12,"opt-total","05"
"179",1414760272001,"old",FALSE,"B",NA,1862,FALSE,0,0,1,0,3,"0010",12,"opt-total","05"
"180",1414760274615,"old",FALSE,"A",NA,1856,FALSE,1,0,0,1,4,"1001",12,"opt-total","05"
"181",1414760277235,"old",TRUE,"B",TRUE,1964,TRUE,0,1,1,0,5,"0110",12,"opt-total","05"
"182",1414760279965,"old",FALSE,"B",NA,1842,FALSE,0,0,0,0,6,"0000",12,"opt-total","05"
"183",1414760282573,"old",FALSE,"A",NA,2074,FALSE,1,1,0,1,7,"1101",12,"opt-total","05"
"184",1414760285412,"old",FALSE,"A",NA,2883,FALSE,0,1,0,1,8,"0101",12,"opt-total","05"
"185",1414760289062,"old",TRUE,"B",FALSE,3273,TRUE,0,0,1,1,9,"0011",12,"opt-total","05"
"186",1414760293105,"old",TRUE,"B",TRUE,1950,TRUE,1,0,1,0,10,"1010",12,"opt-total","05"
"187",1414760295822,"old",TRUE,"A",TRUE,1745,TRUE,0,0,0,1,11,"0001",12,"opt-total","05"
"188",1414760298336,"old",TRUE,"A",TRUE,3206,TRUE,1,1,1,1,12,"1111",12,"opt-total","05"
"189",1414760302296,"new",TRUE,"B",NA,4871,FALSE,0,1,1,1,13,"0111",12,"opt-total","05"
"190",1414760307929,"old",FALSE,"A",NA,1789,FALSE,1,0,1,1,14,"1011",12,"opt-total","05"
"191",1414760310475,"old",TRUE,"A",FALSE,20387,TRUE,0,1,0,0,15,"0100",12,"opt-total","05"
"192",1414760331621,"old",TRUE,"B",FALSE,1753,TRUE,1,1,1,0,16,"1110",12,"opt-total","05"
"193",1414760368795,"old",TRUE,"A",TRUE,7610,TRUE,0,0,1,1,1,"0011",13,"opt-total","05"
"194",1414760377166,"old",FALSE,"A",NA,7906,FALSE,0,0,0,0,2,"0000",13,"opt-total","05"
"195",1414760385840,"old",TRUE,"A",TRUE,3287,TRUE,1,1,1,1,3,"1111",13,"opt-total","05"
"196",1414760389892,"old",FALSE,"B",NA,3247,FALSE,0,1,1,1,4,"0111",13,"opt-total","05"
"197",1414760393904,"old",TRUE,"B",TRUE,2829,TRUE,0,1,0,0,5,"0100",13,"opt-total","05"
"198",1414760397489,"old",TRUE,"B",TRUE,4514,TRUE,1,0,0,0,6,"1000",13,"opt-total","05"
"199",1414760402772,"old",TRUE,"B",TRUE,2406,TRUE,1,0,1,0,7,"1010",13,"opt-total","05"
"200",1414760405943,"old",TRUE,"A",TRUE,4534,TRUE,1,1,0,0,8,"1100",13,"opt-total","05"
"201",1414760411237,"old",FALSE,"B",NA,2830,FALSE,0,1,0,1,9,"0101",13,"opt-total","05"
"202",1414760414829,"old",TRUE,"A",TRUE,2103,TRUE,1,1,1,0,10,"1110",13,"opt-total","05"
"203",1414760417693,"old",FALSE,"A",NA,2065,FALSE,1,1,0,1,11,"1101",13,"opt-total","05"
"204",1414760420513,"old",FALSE,"A",NA,2202,FALSE,0,0,1,0,12,"0010",13,"opt-total","05"
"205",1414760423464,"old",TRUE,"B",FALSE,2218,TRUE,0,0,0,1,13,"0001",13,"opt-total","05"
"206",1414760426449,"old",FALSE,"B",NA,1922,FALSE,1,0,1,1,14,"1011",13,"opt-total","05"
"207",1414760429128,"old",FALSE,"B",NA,2773,FALSE,1,0,0,1,15,"1001",13,"opt-total","05"
"208",1414760432653,"old",TRUE,"B",TRUE,5569,TRUE,0,1,1,0,16,"0110",13,"opt-total","05"
"209",1414760452255,"old",TRUE,"A",TRUE,7224,TRUE,0,0,0,1,1,"0001",14,"opt-total","05"
"210",1414760460230,"old",FALSE,"B",NA,4945,FALSE,0,0,1,0,2,"0010",14,"opt-total","05"
"211",1414760465925,"old",TRUE,"A",TRUE,5425,TRUE,0,0,1,1,3,"0011",14,"opt-total","05"
"212",1414760472102,"new",TRUE,"A",NA,17248,FALSE,0,0,0,0,4,"0000",14,"opt-total","05"
"213",1414760490101,"old",TRUE,"B",TRUE,4106,TRUE,1,0,1,0,5,"1010",14,"opt-total","05"
"214",1414760494959,"old",TRUE,"A",TRUE,3072,TRUE,1,1,1,1,6,"1111",14,"opt-total","05"
