"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"1078",1415024326660,"old",FALSE,"A",NA,2945,FALSE,1,0,0,0,6,"1000",68,"ms","05"
"1079",1415024330357,"old",FALSE,"B",NA,2472,FALSE,0,0,1,0,7,"0010",68,"ms","05"
"1080",1415024333580,"old",TRUE,"A",TRUE,2552,TRUE,1,0,1,1,8,"1011",68,"ms","05"
"1081",1415024336885,"old",FALSE,"B",NA,2551,FALSE,0,0,1,1,9,"0011",68,"ms","05"
"1082",1415024340189,"old",TRUE,"A",TRUE,2383,TRUE,0,1,1,1,10,"0111",68,"ms","05"
"1083",1415024343324,"old",FALSE,"B",NA,2962,FALSE,1,1,1,1,11,"1111",68,"ms","05"
"1084",1415024347038,"old",TRUE,"A",FALSE,3536,TRUE,1,1,0,0,12,"1100",68,"ms","05"
"1085",1415024351328,"old",FALSE,"B",NA,2397,FALSE,0,1,0,0,13,"0100",68,"ms","05"
"1086",1415024354477,"old",FALSE,"A",NA,3208,FALSE,0,1,0,1,14,"0101",68,"ms","05"
"1087",1415024358452,"old",TRUE,"B",TRUE,2473,TRUE,0,0,0,1,15,"0001",68,"ms","05"
"1088",1415024361680,"old",TRUE,"A",TRUE,5151,TRUE,1,1,1,0,16,"1110",68,"ms","05"
"1089",1415024453894,"old",FALSE,"A",NA,4847,FALSE,0,1,0,1,1,"0101",69,"ms","05"
"1090",1415024459493,"old",TRUE,"B",FALSE,4370,TRUE,1,0,1,1,2,"1011",69,"ms","05"
"1091",1415024464616,"old",TRUE,"A",FALSE,4088,TRUE,1,1,0,0,3,"1100",69,"ms","05"
"1092",1415024469486,"old",FALSE,"B",NA,2710,FALSE,1,0,0,1,4,"1001",69,"ms","05"
"1093",1415024472947,"old",FALSE,"A",NA,2170,FALSE,1,1,1,1,5,"1111",69,"ms","05"
"1094",1415024475869,"old",FALSE,"A",NA,1792,FALSE,0,1,0,0,6,"0100",69,"ms","05"
"1095",1415024478414,"old",FALSE,"B",NA,4080,FALSE,0,0,1,0,7,"0010",69,"ms","05"
"1096",1415024483245,"old",TRUE,"A",TRUE,2800,TRUE,1,1,0,1,8,"1101",69,"ms","05"
"1097",1415024486798,"old",TRUE,"A",TRUE,5019,TRUE,1,0,1,0,9,"1010",69,"ms","05"
"1098",1415024492610,"old",TRUE,"B",FALSE,2299,TRUE,1,1,1,0,10,"1110",69,"ms","05"
"1099",1415024495661,"old",FALSE,"A",NA,3323,FALSE,1,0,0,0,11,"1000",69,"ms","05"
"1100",1415024499736,"old",TRUE,"A",FALSE,5093,TRUE,0,1,1,0,12,"0110",69,"ms","05"
